First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - Augenblick -- Second Augenblick  (können,2) (förmlich,1) (Nacht,1) (unbrauchbar,1) (Leder,1) (scharren,1) (Komm,1) (schleudern,1) (gleich,1) (Abfallkiste,1) (Gregor,3) (zurückgehen,1) (Anstrengung,1) (verziehen,1) (Sinn,1) (Wort,1) (ruhen,1) (haben,1) (stundenlang,1) (richten,1) (stocken,1) (arbeiten,1) (ruhig,1) (tanzen,1) (Vater,1) (Geduld,1) (Nachklang,1) (stehen,3) (eilig,1) (unüberlegen,1) (gehen,2) (Überlegung,1) (Bewegung,1) (Auge,2) (erster,1) (ungeduldig,1) (Rede,1) (öffnen,1) (Umdrehung,1) (Prokurist,1) (Grete,1) (Bett,1) (Stock,1) (schlief,1) (sagen,1) (sein,4) (nächster,1) (Aschenkiste,1) (gut,1) (kommen,1) (Wohnzimmer,1) (Bestimmtheit,1) (wahrheitsgetreu,1) (Absicht,1) (drohen,1) (schaukelnd,1) (Beinchen,1) (scharf,1) (lang,2) (wollen,1) (klein,1) (Deutlichkeit,1) (Zusammensturz,1) (beließ,1) (machen,3) (verhalten,1) (unmittelbar,1) (allgemein,1) (entladend,1) (bleiben,1) (steigen,1) (gewiß,1) (Klebstoff,1) (unfähig,1) (sehen,1) (Küche,1) (berichten,1)
First Hash - Verwundung -- Second Verwundung  (leiden,1) (bitten,1) (Leben,1) (schwer,1) (Monat,1) (Gregor,1)
First Hash - hereinkamen -- Second hereinkamen  (sein,1) (gegessen,1) (tatsächlich,1) (Zeit,1) (hinauskommen,1) (Speise,1)
First Hash - Reinlichkeit -- Second Reinlichkeit  (Schwester,1) (ganz,1) (Mutter,1) (sehen,1) (Sorgfalt,1) (Gregor,1)
First Hash - Wunde -- Second Wunde  (Rücken,1) (vollständig,1) (wehtun,1) (Beweglichkeit,1) (Finger,1) (gehen,1) (sollen,1) (essen,1) (müssen,1) (Gregor,2) (Messer,1) (heilen,1) (reichen,1) (fing,1) (haben,1) (dulden,2) (wahrscheinlich,1) (Familie,1) (schwirren,1) (schneiden,1) (verlieren,1) (Kraft,1)
First Hash - gegessen -- Second gegessen  (sein,1) (haben,1) (lang,1) (Zeit,1) (hereinkamen,1) (Speise,1)
First Hash - ähnliche -- Second ähnliche  (können,1) (danke,1) (haben,1) (Prokurist,1) (Möglichkeit,1) (vorstellen,1) (fragen,1) (suchen,1) (werden,1) (passieren,1) (bekommen,1) (Getrunken,1)
First Hash - » -- Second »  (sagen,1) (sein,3) (leise,1) (klagen,1) (kommen,1) (sollen,1) (schwach,1) (Tür,1) (mahnen,1) (Stimme,2) (fertig,1) (Gregor,11) (Seitentür,1) (antworten,1) (Frisch,1) (rufen,4) (Eltern,1) (Kopfende,1) (Faust,1) (anderer,1) (Brauchst,1) (haben,2) (verständigen,1) (Vater,3) (Anna,2) (tief,1) (Schlüssel,1) (Bin,1) (hören,1) (erheben,1) (Seite,1) (bemühen,1) (Schwester,2) (Prokurist,1) (schreien,1) (Mutter,2) (Bett,1) (wagen,1)
First Hash - unaufhörlich -- Second unaufhörlich  (Seitenblicken,1) (verstehen,1) (ängstlich,1) (beginnen,1) (bitten,1) (Küche,1) (halten,1) (dürfen,1) (Vergünstigung,1) (einhalten,1) (versperren,1) (Vater,1)
First Hash - verkaufen -- Second verkaufen  (haben,1) (Abend,1) (tragen,1) (werden,1) (Feierlichkeit,1) (Gregor,1)
First Hash - sagen -- Second sagen  (Bedenken,1) (Frau,5) (Verhältnis,1) (Munterkeit,1) (Ehe,1) (kümmern,1) (Komm,3) (sollen,2) (Bedienerin,2) (ergießen,1) (Leben,2) (tun,1) (Gregor,18) (zupfen,1) (mittlerer,2) (stoßen,1) (letzter,1) (unterer,1) (mitleidig,1) (Ärmel,1) (Anblick,1) (versäumen,1) (zeigen,2) (Grund,2) (Uhr,1) (halb,1) (beschränken,1) (Personal,1) (Atem,1) (schlafen,1) (lassen,2) (Begleitung,1) (Morgenarbeit,1) (Auge,2) (einstellen,1) (Aufatmend,1) (Geschäft,2) (öffnen,1) (Schwester,6) (laufen,1) (Bett,2) (Herr,10) (erschrecken,1) (holen,2) (leise,2) (Handbewegung,1) (Pult,1) (erklären,2) (Tür,2) (groß,1) (Überblick,1) (Eltern,1) (führend,1) (versuchen,1) (verstummen,1) (Herumschauen,1) (Schmerz,1) (wollen,7) (aufgesetzt,1) (bekommen,1) (genau,1) (fragend,1) (schlagen,2) (kreuzen,1) (hören,3) (Krückstock,1) (aushalten,2) (ausbrechen,1) (Appetit,1) (Weilchen,1) (stillstand,1) (möchten,1) (wenden,1) (können,6) (wehmütig,1) (unnütz,1) (Ruhe,1) (bestürzt,1) (Schlage,1) (Vorwurf,1) (brauchen,1) (läuten,1) (Name,1) (nutzlos,1) (bewußt,1) (offenbar,2) (fragen,1) (arbeiten,1) (verlassen,1) (stehen,1) (nähst,1) (eilig,1) (neuerlich,1) (erheben,1) (erfahren,1) (gehen,3) (tragen,1) («,1) (Widerreden,1) (Augenblick,1) (Hand,1) (Treppe,1) (Prokurist,8) (auffallend,2) (Grete,4) (Einleitung,1) (Stehen,1) (drücken,1) (loswerden,2) (»,1) (zeigend,1) (schlief,1) (sagen,2) (aussprechen,1) (sein,16) (sorgenvoll,1) (Kasten,1) (Besen,1) (sonstig,1) (Liebe,1) (verstünde,1) (Essen,1) (Absicht,1) (Weihnachten,2) (häufig,1) (wegfahren,1) (schmecken,1) (Seht,1) (Beinchen,1) (zusammenstellen,1) (empfehlen,1) (freundlich,1) (Umstand,1) (Güte,1) (laut,1) (machen,1) (starr,1) (schreiben,1) (vertrauen,1) (Bruder,1) (Samsa,7) (fallen,2) (Schmeichelwort,1) (traurig,1) (Mutter,11) (hoffentlich,2) (dauern,1) (werden,6) (beweisen,1) (drehen,1) (unsinnig,1) (förmlich,1) (danke,1) (schweigen,1) (Hausmeisterin,1) (stehenbleiben,1) (Weile,1) (Möbel,1) (Wort,2) (wirklich,1) (haben,18) (legen,1) (Nein,1) (bringen,2) (fühlen,1) (Arbeit,1) (ergreifen,1) (ganze,1) (viertelstündig,1) (Herzen,1) (Wecker,1) (treiben,1) (scheinen,1) (geben,1) (Tot,1) (Beweis,1) (Ding,1) (entlassen,1) (Tierstimme,1) (gut,1) (aufhalten,1) (Ordnung,2) (kommen,2) (Ernstes,1) (Boden,2) (Auftrag,1) (Beginn,1) (klein,1) (Schlosser,1) (Meinung,1) (mager,1) (bleiben,2) (tropfen,1) (schicken,1) (abhalten,1) (treten,1) (selbstverständlich,1) (heben,1) (erstarren,1) (persönlich,1) (antworten,1) (Zimmer,1) (führen,2) (Kind,1) (Nebenzimmer,4) (Ohr,1) (wischen,1) (klopfen,1) (Zeit,1) (Vater,14) (geschehen,1) (Wohnung,2) (unüberlegen,1) (halten,1) (müssen,6) (ursprünglich,1) (fortgehen,1) (Geschäftsleute,1) (wiederholen,1) (Leiche,1) (befangen,1) (verlangen,1) (Chef,1) (zurückhalten,1) (bedächtig,1) (Außergewöhnlich,1) (nehmen,2) (zitternd,1) (langsam,1) (wissen,3) (erwarten,1) (Familie,1) (meinen,3) (pflegen,2) (gegenteilige,1) (suchen,2) (unmöglich,1) (leugnen,1) (Gegenteil,1) (tüchtig,1) (sehen,5) (unweigerlich,1)
First Hash - Auswahl -- Second Auswahl  (Zeitung,1) (ganz,1) (ausbreiten,1) (alt,1) (Geschmack,1) (prüfen,1)
First Hash - Form -- Second Form  (Provision,1) (Bargeld,1) (haben,1) (Geldverdienen,1) (Arbeitserfolg,1) (verwandeln,1)
First Hash - sträubend -- Second sträubend  (aufgelöst,1) (Nacht,1) (gefaltet,1) (Haar,1) (sehen,1) (hoch,1)
First Hash - Kasten -- Second Kasten  (können,2) (Frau,2) (ächzend,1) (Laubsäge,1) (gleiden,1) (Schwung,1) (sollen,1) (wegschaffen,1) (Notfall,1) (Möbel,1) (Gregor,2) (Schreibtisch,2) (Platz,1) (Zimmer,2) (Weckuhr,1) (letzter,1) (haben,2) (hinausschaffen,2) (verhindern,1) (Nebenzimmer,1) (helfen,2) (Grund,1) (Vater,2) (Werkzeug,1) (lassen,1) (alt,1) (halten,1) (schwer,2) (erlangen,1) (Schwester,3) (geben,1) (drücken,1) (Bett,1) (sagen,1) (denken,1) (sein,4) (glatt,1) (Mitte,1) (Kasten,2) (ermöglichen,1) (fertig,1) (rücken,1) (nehmen,1) (anderer,1) (versuchen,1) (Gret,1) (zurückkehren,1) (nähern,1) (Kraft,1) (Übung,1) (Entfernung,1) (aufrichten,1) (lieb,1) (himmlisch,1) (schwingen,1) (ticken,1) (bleiben,1) (fahren,1) (Mutter,1) (sehen,1) (werden,1) (umfangen,1)
First Hash - verzweifelt -- Second verzweifelt  (gut,1) (vergessen,1) (erinnern,1) (ruhig,2) (Entschluß,1)
First Hash - Junge -- Second Junge  (Geschäft,1) (haben,1) (Kopf,1) (versäumen,1) (Zug,1) (Gregor,1)
First Hash - Fortschreiten -- Second Fortschreiten  (können,1) (besinnungslos,1) (Schlüssel,2) (umtanzen,1) (Drehung,1)
First Hash - selbständig -- Second selbständig  (winken,1) (Schwester,1) (Nähzeug,1) (führen,1) (gehen,1) (Mutter,1)
First Hash - ordnen -- Second ordnen  (frei,1) (Stunde,1) (Leintuch,1) (sollen,1) (überlegen,1) (Leben,1) (erreichen,1) (gänzlich,1) (Höhe,1) (fliegen,1) (Kanapee,1) (Zimmer,1) (Weise,1) (hoch,1) (Bett,1) (neu,1) (verdecken,1) (Herr,1)
First Hash - hart -- Second hart  (Rücken,2) (Krankenhaus,1) (sein,2) (durchbrechend,1) (Front,1) (unverletzt,1) (liegen,1) (verwandeln,1) (scheinen,1) (regelmäßig,1) (panzerartig,1) (Haus,1) (Kopf,1) (Fall,1) (sehen,1) (werden,1)
First Hash - widerlich -- Second widerlich  (kurz,1) (Verhältnis,1) (herrschend,1) (Wohnung,1) (Familie,1) (spie,1)
First Hash - Nachdenken -- Second Nachdenken  (bleiben,1) (leer,1) (Zustand,1) (friedlich,1) (dritter,1) (Turmuhr,1)
First Hash - erzeugt -- Second erzeugt  (leicht,1) (empfinden,1) (Schmerz,1) (liegen,1) (Bett,1) (ungeschickt,1)
First Hash - Folge -- Second Folge  (durchschauend,1) (Leib,1) (spüren,1) (Ursache,1) (eigen,1) (schlimm,1)
First Hash - Anruf -- Second Anruf  (sein,1) (besonderer,1) (begnügen,1) (bleiben,1) (öffnen,1) (hören,1) (heilig,1) (Seufzer,1) (spät,1) (halten,1) (dürfen,1) (müssen,1)
First Hash - Wagen -- Second Wagen  (warm,1) (sein,1) (freie,1) (Stadt,1) (sitzen,1) (Elektrisch,1)
First Hash - weiß -- Second weiß  (umgeben,1) (sein,4) (Bedienerin,1) (Tür,1) (besetzen,1) (aufmerksam,1) (Stelle,1) (knochig,1) (Nachtmahl,1) (Sauce,1) (häßlich,1) (Pünktchen,1) (Kopf,1) (zerzaust,1) (frisch,1) (klein,1) (festgeworden,1) (juckend,1) (Haar,2) (umflatternd,1) (Knochen,1) (bleiben,1) (peinlich,1) (riesig,1) (wundgerieben,1) (Flanke,1)
First Hash - erraten -- Second erraten  (verschieden,1) (können,1) (Güte,1) (haben,1) (Schwester,1) (Gedanke,1)
First Hash - erscheinen -- Second erscheinen  (Frau,1) (sein,1) (Chef,1) (Vergessen,1) (Tür,1) (Gedanke,1) (nehmen,1) (untermischt,1) (nutzlos,1) (langsam,1) (haben,2) (Livree,1) (Gabel,1) (Mädchen,1) (Zeit,1) (lang,1) (Schüssel,1) (Vater,1) (Schlafzimmer,1) (warten,1) (Hand,2) (Messer,1) (fremde,1) (Samsa,1) (bewerben,1) (Mutter,1) (Arm,1) (Herr,1)
First Hash - gehorcht -- Second gehorcht  (Freude,1) (haben,1) (Boden,1) (vollkommen,1) (merken,1) (fest,1)
First Hash - Flüssigkeit -- Second Flüssigkeit  (braun,1) (Schaden,1) (kommen,1) (fließen,1) (Mund,1) (zufügen,1)
First Hash - einzig -- Second einzig  (Mittel,1) (linker,1) (Kappe,1) (sein,1) (machen,1) (lange,1) (Seite,1) (gehen,1) (klingen,1) (Stimme,1) (Hand,1) (Gregor,1) (rufen,1) (Zimmer,1) (scheinen,1) (wirklich,1) (Schwester,1) (geben,1) (mußen,1) (Verbeugung,1) (unangenehm,1) (Vater,2) (spannend,1)
First Hash - beschädigen -- Second beschädigen  (Schwester,1) (früh,1) (Fall,1) (groß,1) (Körper,1) (Gewalt,1)
First Hash - Vergnügen -- Second Vergnügen  (können,2) (sein,1) (müde,1) (machen,1) (entfernen,1) (gehören,1) (gering,1) (essen,1) (Wanderung,1) (Gregor,1) (Gewohnheit,1) (nehmen,1) (wachsend,1) (haben,1) (Zerstreuung,1) (spät,1) (sterben,1)
First Hash - schmutzig -- Second schmutzig  (Kram,1) (bedacht,1) (haben,1) (Unnützen,1) (ertrugen,1) (Küche,1)
First Hash - schwarz -- Second schwarz  (aufmerksam,1) (Blick,1) (drang,1) (frisch,1) (Auge,1) (Augenbraue,1)
First Hash - verwirren -- Second verwirren  (können,1) (sein,2) (nachlaufen,1) (haben,1) (Prokurist,1) (völlig,1) (erklären,1) (müssen,1) (Gregor,1) (Monat,1) (Verstand,1)
First Hash - zahnlos -- Second zahnlos  (können,1) (schön,1) (essen,1) (ausrichten,1) (brauchen,1) (Kiefer,1)
First Hash - Klang -- Second Klang  (Schloß,1) (hören,1) (erwecken,1) (kommen,1) (zurückschnappend,1) (dumpf,1) (Stimme,1) (Körper,1) (heller,1) (Last,1) (Wort,1) (haben,1) (auffallend,1) (vorsichtig,1) (Aufenthalt,1) (Kopf,1) (kennen,1) (genau,1)
First Hash - Reisend -- Second Reisend  (Kommi,1) (anderer,1) (Nacht,1) (Möglichkeit,1) (werden,1) (klein,1)
First Hash - ticken -- Second ticken  (denken,1) (Weckuhr,1) (Kasten,1) (himmlisch,1) (sehen,1) (Vater,1)
First Hash - Husten -- Second Husten  (Geräusch,1) (hören,1) (getraut,1) (entscheiden,1) (kommen,1) (Mutter,1) (menschlich,1) (klingen,1) (sehen,1) (tun,1) (bringen,1) (Vater,1)
First Hash - Zugluft -- Second Zugluft  (Zeitung,1) (fliegen,1) (Treppenhaus,1) (stark,1) (entstehen,1) (Fenstervorhang,1)
First Hash - Überraschung -- Second Überraschung  (können,1) (geschehen,1) (losließ,1) (klatschen,1) (Boden,1) (eigen,1)
First Hash - Schmeichelwort -- Second Schmeichelwort  (sagen,1) (verlassen,1) (Schwester,1) (Ohr,1) (Ärmel,1) (zupfen,1)
First Hash - traurig -- Second traurig  (sagen,1) (sein,2) (gegenwärtig,1) (Familienglied,1) (müde,1) (liegen,1) (neigen,1) (Gregor,1) (häufig,1) (schweigend,1) (Gestalt,1) (haben,1) (stundenlang,1) (Bein,1) (ekelhaft,1) (sterben,1) (rühren,1) (pflegen,1) (Seite,1) (Wanderung,1) (folgen,1) (Blick,1) (Mutter,1) (Fall,1) (sehen,1) (Zimmerherre,1) (Notenzeile,1) (prüfend,1) (wiederholen,1)
First Hash - hoffentlich -- Second hoffentlich  (sagen,2) (Sinn,1) (sein,1) (Prokurist,1) (vollziehen,1) (Beinchen,1) (Ernstes,1) (erklären,1) (werden,1) (Fußboden,1) (bekommen,1)
First Hash - weichen -- Second weichen  (unruhig,1) (Zimmer,1) (langsam,1) (Bärt,1) (haben,1) (zupft,1)
First Hash - Raum -- Second Raum  (können,1) (beobachten,1) (leisten,1) (leer,1) (tatsächlich,1) (Kriechen,1) (Wand,1) (brauchen,1) (Gregor,2) (Möbel,1) (wollen,1)
First Hash - eilt -- Second eilt  (Benehmen,1) (bleiben,1) (erregen,1) (Nähe,1) (Gregor,1) (Vater,1)
First Hash - einsehet -- Second einsehet  (Tisch,1) (gehen,1) (Untier,1) (sehen,1) (Hand,1) (wollen,1)
First Hash - Störung -- Second Störung  (sein,1) (genügend,1) (erwachen,1) (spät,1) (fühlen,1) (Schlaf,1)
First Hash - Lung -- Second Lung  (arbeitend,1) (sein,1) (Atembeschwerde,1) (heftig,1) (sitzen,1) (Sessel,1)
First Hash - ansah -- Second ansah  (Strenge,1) (stocken,1) (laufen,1) (groß,1) (anbringen,1) (Vater,1)
First Hash - Geruch -- Second Geruch  (können,1) (locken,1) (sein,2) (stehen,1) (schleppen,1) (haben,1) (Eßbarem,1) (schmecken,1) (Sache,1) (vertragen,1) (Speise,1)
First Hash - Gegenwart -- Second Gegenwart  (Blick,1) (Fassung,1) (behalten,1) (Wand,1) (Mutter,1) (Gregor,1)
First Hash - Fahrplan -- Second Fahrplan  (Zeitung,1) (still,1) (sein,1) (studieren,1) (Laubsägearbeit,1) (Zerstreuung,1)
First Hash - heraufstieg -- Second heraufstieg  (verlassen,1) (Haltung,1) (Samsa,1) (stolz,1) (Kopf,1) (Herr,1)
First Hash - einrichten -- Second einrichten  (zweifellos,1) (haben,1) (gut,1) (Geld,1) (genügen,1) (Vater,1)
First Hash - bringen -- Second bringen  (verschieden,1) (können,2) (Rumpelzeug,1) (heben,1) (Ruhe,1) (Wand,1) (tun,1) (Gregor,3) (Gedanke,1) (Platz,1) (wirklich,2) (haben,6) (ganz,1) (Lage,1) (Vater,2) (hinunterjagen,1) (Arbeit,1) (Schlüssel,1) (aufrecht,1) (Seite,1) (hereinzukommen,1) (zwingen,1) (Bewegung,2) (halten,1) (schwer,1) (aufstampfen,1) (Hoffnungslosigkeit,1) (öffnen,1) (Prokurist,1) (Schwester,2) (wand,1) (Stehen,1) (neugierig,1) (vergessen,1) (Bett,2) (sagen,2) (Unglück,1) (gegenwärtig,1) (sein,4) (Ordnung,1) (kommen,1) (rechter,1) (Tür,1) (sonstig,1) (erklären,1) (prüfen,1) (Geschmack,1) (Hilfe,1) (Eltern,1) (stark,1) (Haus,1) (Stelle,1) (zurückkehren,1) (Kraft,1) (wollen,1) (Willkür,1) (vollständig,1) (Güte,1) (Gulden,1) (hören,2) (machen,1) (schwingen,1) (unmöglich,1) (Husten,1) (allmonatlich,1) (bestimmt,1) (jetzig,1) (Zustand,1) (Mutter,3) (Tag,1) (sehen,1) (Ersatze,1) (werden,1) (rasch,1) (Kiefer,1) (Sicherheit,1)
First Hash - Kanne -- Second Kanne  (Kaffee,1) (Strom,1) (groß,1) (merken,1) (voll,1) (umgeworfen,1)
First Hash - versunken -- Second versunken  (springen,1) (scheinen,1) (Boden,1) (liegen,1) (einemmal,1) (Höhe,1)
First Hash - Schlüssel -- Second Schlüssel  (drehen,2) (können,2) (Schloß,3) (Nacht,1) (sollen,2) (Bedarf,1) (Drehung,2) (Gregor,2) (Anstrengung,1) (rufen,1) (Last,1) (wirklich,1) (haben,1) (ganz,1) (umtanzen,1) (Nebenzimmer,1) (fragen,1) (bringen,1) (Schlüssel,2) (aufrecht,1) (Zahn,1) (stecken,1) (entfernen,1) (schlummern,1) (Bewegung,1) (halten,1) (aufbringen,1) (scheinen,1) (Prokurist,1) (umdrehen,3) (drücken,1) (»,1) (sein,3) (kommen,2) (Fortschreiten,2) (hing,1) (groß,1) (Hilfe,1) (Eltern,1) (langsam,1) (Boden,1) (fließen,1) (Mund,2) (zurückziehen,1) (fassen,1) (zweifellos,1) (besinnungslos,1) (hören,1) (machen,1) (Spät,1) (tropfen,1) (werden,2) (schrecken,1) (achten,1) (Kiefer,1) (merken,1)
First Hash - zerstören -- Second zerstören  (Deutlichkeit,1) (Nachklang,1) (wissen,1) (beließ,1) (gehören,1) (recht,1)
First Hash - Teller -- Second Teller  (setzen,1) (Tisch,1) (Zimmerherr,1) (Nachtmahl,1) (Dienermütze,1) (spielen,1)
First Hash - gelangen -- Second gelangen  (nehmen,1) (können,1) (tief,1) (Hunger,1) (Augenblicken,1) (machen,1) (hervorkamen,1) (Speisekammer,1) (Familie,1) (Interesse,1) (Plan,1) (verlieren,1)
First Hash - Ermattung -- Second Ermattung  (fallen,1) (Schwester,1) (Auge,1) (Sessel,1) (sitzen,1) (Vater,1)
First Hash - befinden -- Second befinden  (können,1) (glücklich,1) (sein,1) (Zimmer,1) (geschehen,1) (geschlossen,1) (Zerstreutheit,1) (aufhalten,1) (Fenster,1) (eigen,1) (Gregor,2)
First Hash - reißen -- Second reißen  (Türe,1) (Zimmer,1) (Wohnungstüre,1) (Schwester,1) (schnell,1) (hören,1) (ersparen,1) (ersticken,1) (Fenster,1) (hastig,1) (anziehen,1) (Hand,1)
First Hash - nachfliegend -- Second nachfliegend  (Rücken,1) (unschädlich,1) (förmlich,1) (glitt,1) (drang,1) (Gregor,1)
First Hash - Ding -- Second Ding  (Krankenhaus,1) (können,2) (sagen,1) (sein,1) (holen,1) (sorgenvoll,1) (kommen,1) (Ordnung,1) (entfernt,1) (Absicht,1) (Gregor,1) (verkäuflich,1) (Zimmer,3) (haben,2) (Boden,1) (Kopf,1) (nähren,1) (Zeit,1) (Grund,1) (überflüssig,1) (neu,1) (still,1) (gegenüberliegend,1) (undeutlich,1) (Wohnung,1) (mitbringen,1) (pflegen,1) (söhnen,1) (angewöhnen,1) (Erklärung,1) (hineinzustellen,1) (geben,1) (Gelegenheit,1) (tatsächlich,1) (hinauszuwerfen,1) (Mutter,1) (Tag,2) (unterbringen,1) (sehen,1) (werden,1) (Zimmerherre,1) (beschäftigen,1) (wiederholen,1)
First Hash - Biegung -- Second Biegung  (verschwinden,1) (Treppenhaus,1) (bestimmt,1) (Augenblicken,1) (hinunterstiegen,1) (Stockwerk,1)
First Hash - Pause -- Second Pause  (Wort,1) (Einschaltung,1) (Aussprache,1) (Stimme,1) (lang,1) (einzeln,1)
First Hash - ungenießbar -- Second ungenießbar  (trocken,1) (haben,1) (Tag,1) (erklären,1) (Käse,1) (Gregor,1)
First Hash - Bürgerschüler -- Second Bürgerschüler  (Schreibtisch,1) (Volksschüler,1) (Aufgabe,1) (eingegraben,1) (Handelsakademiker,1) (schreiben,1)
First Hash - heutig -- Second heutig  (beschließen,1) (sein,1) (allmählich,1) (Wohnung,1) (herausstellen,1) (Spazierengehen,1) (erleichtert,1) (ausruhen,1) (Tag,1) (auflösen,1) (gespannt,1) (Vorstellung,1)
First Hash - abwenden -- Second abwenden  (Wort,1) (Schulter,1) (sehen,1) (zuckend,1) (erster,1) (Gregor,1)
First Hash - gut -- Second gut  (Frau,1) (Verhältnis,1) (gelegen,1) (erkennen,1) (sollen,1) (neigen,1) (Zeichen,1) (erreichen,1) (erinnern,1) (Gregor,7) (Möbel,1) (wachen,1) (Speise,1) (Sorge,1) (besonderer,1) (nah,1) (Bettpfosten,1) (einrichten,1) (wirklich,1) (haben,8) (spät,1) (Ziel,1) (ruhig,1) (Geduld,1) (Vorurteil,1) (ohnmächtig,1) (Personal,1) (Begleitung,1) (matt,1) (verpflichten,1) (finden,1) (versammeln,1) (scheinen,1) (Veranlassung,1) (laufen,1) (Schwester,1) (vergessen,1) (Herr,3) (zurückhielen,1) (denken,2) (dirigieren,1) (überfallen,1) (gut,2) (Wille,1) (Überblick,2) (Einwirkung,1) (billig,1) (Eltern,5) (wegschicken,1) (Stelle,1) (Woche,1) (Kopf,1) (Mädchen,1) (wollen,3) (klein,2) (genau,1) (zweifellos,1) (überlassen,1) (schlagen,1) (Tät,1) (verstehen,2) (glauben,1) (zittern,1) (ausbrechen,1) (bleiben,1) (Stenographie,1) (Zustand,1) (Tag,1) (Französisch,1) (können,4) (Jahr,1) (heben,1) (Mensch,1) (Entschluß,1) (Traum,1) (läuten,1) (Zimmer,2) (Kind,1) (Zeit,2) (hereinbringen,1) (Vater,2) (neu,1) (Wohnung,1) (hereinkäme,1) (gehen,2) (halten,1) (Augenblick,1) (möglich,1) (müssen,2) (Mut,1) (gleichzeitig,1) (durchdenken,1) (vergehen,1) (verschonen,1) (Prokurist,2) (umdrehen,1) (Posten,1) (hinausfliegen,1) (sagen,1) (sein,12) (straff,1) (Chef,2) (verzweifelt,1) (gelingen,1) (praktisch,1) (sonstig,1) (prüfen,1) (Absicht,4) (blau,1) (Bestätigung,1) (wissen,5) (stören,1) (lang,2) (durchschauen,1) (aufrichten,1) (Fahrt,1) (Widerspruch,1) (suchen,1) (vertrauen,1) (Kanapee,1) (Vorahnung,1) (Mutter,1) (sehen,3) (entsprechen,1) (werden,4) (merken,1)
First Hash - kommen -- Second kommen  (Rumpelzeug,1) (Frau,1) (Meldung,1) (Komm,1) (treffen,1) (Bedienerin,3) (tun,1) (erinnern,2) (Gregor,15) (Nachthemd,1) (rufen,3) (Prinzipal,1) (letzter,1) (Schulter,1) (haben,8) (ganz,1) (vernünftig,1) (nähren,1) (Anblick,1) (bringen,1) (Eile,1) (geraten,1) (unnatürlich,1) (still,2) (Schlüssel,2) (Violine,1) (wundern,1) (lassen,3) (Haar,1) (stecken,1) (entfernen,1) (Ende,1) (erster,1) (treiben,1) (Rede,1) (Geschäft,2) (Leute,1) (Weise,1) (öffnen,1) (geben,1) (Frühzug,1) (Abend,2) (Bett,1) (Arm,1) (Ding,1) (Herr,1) (denken,2) (Unglück,1) (ausrufen,1) (kommen,2) (dumpf,1) (Tür,3) (Hilfe,1) (unschuldig,1) (Eltern,1) (Gewalttat,1) (Geldverdienen,1) (erregt,1) (verstummen,1) (Bewußtsein,1) (auffassen,1) (Kopf,1) (Mund,1) (Kraft,1) (Übung,1) (schlagen,1) (rühren,1) (Aussehen,1) (hören,1) (übrig,1) (vorwärtsgesprung,1) (Spät,1) (vergangen,1) (Notwendigkeit,1) (steigen,1) (Weilchen,1) (Küche,2) (schicken,1) (möchten,1) (treten,2) (Voraussicht,1) (können,3) (Notenpult,1) (Fußspitze,1) (Ruhe,1) (früh,2) (liegen,1) (Sinn,1) (Zimmer,4) (froh,1) (fragen,1) (Wurf,1) (Zeit,1) (arbeiten,1) (aß,1) (Vater,3) (geschehen,1) (stehen,2) (erkundigen,1) (Wohnung,1) (warten,1) (alt,1) (gehen,2) (lohnen,2) (Augenblick,1) (müssen,4) (schwer,2) (Hand,2) (Schrecken,1) (zufügen,1) (Konservatorium,1) (fortgehen,1) (Prokurist,2) (auffallend,1) (Grete,1) (tatsächlich,1) (Tasche,1) (»,1) (Zimmerherre,1) (faul,1) (ungeschickt,1) (sagen,2) (sein,15) (Chef,1) (Weihnachten,1) (Sache,1) (abhanden,1) (Tapete,1) (stark,1) (langsam,1) (versagen,1) (Morgen,4) (wegfahren,1) (Flüssigkeit,1) (fließen,1) (gönnen,1) (Familie,1) (Gret,1) (verwinden,1) (Hindernis,1) (aufrichten,1) (erstaunen,1) (umflatternd,1) (dünn,1) (einfach,1) (Klang,1) (schreiben,1) (braun,1) (Samsa,1) (Freude,1) (Husten,1) (Spiel,1) (mögen,1) (leugnen,1) (Mutter,2) (Krankenkassenarzt,1) (sehen,4) (werden,5) (nachdenken,1)
First Hash - dumpf -- Second dumpf  (kommen,1) (Seite,1) (beginnen,1) (Ausdruck,1) (husten,1) (Klang,1) (irrsinnig,1) (Auge,1) (Hand,1) (vorgehalten,1) (gefühlt,1) (leicht,1) (haben,2) (auffallend,1) (Schmerz,1) (Kopf,1) (fühlen,1)
First Hash - stemmen -- Second stemmen  (lehnen,1) (offenbar,1) (Fensterbrüstung,1) (hinaufzukriechen,1) (Fenster,1) (Sessel,1)
